Professor_ID,Professor_Name,University,Department,Quality,Difficulty,Class_Name,Comment,Thumbs_Up,Thumbs_Down,Review_Date
100888,Donna Sewell,Valdosta State University,English department,5,4,ENGL1101,"For an ENGL1101 class, Dr. Sewell seems hard, but I kept all of her handouts and they have been very helpful! You will appreciate her much more later! If she teaches any of my other courses, I will take them from now on. You have to turn in essay rough drafts and final copies as well as do grammar and punctuation quizzes.",0,0,"Oct 13th, 2022"
100888,Donna Sewell,Valdosta State University,English department,5,4,ENGL2080,"This teacher is amazing! You will struggle if you miss class because she makes you turn in a notebook every week with notes and assignments you do during the week. She is very understanding and you can tell how passionate she is and how she wants you to succeed. Amazing professor, I wish i could take her again!",0,0,"Apr 27th, 2022"
100888,Donna Sewell,Valdosta State University,English department,5,4,ENGL2080,"Dr. Sewell is great! Assignments are very clear. She is always willing to help students out. You will need to go to class for the material, but she is pretty lenient with grading. This class can be hard, but she cares about her students and is a great professor!",0,0,"Dec 9th, 2021"
100888,Donna Sewell,Valdosta State University,English department,3,5,ENGL1101,"Hardest class I have ever taken, it was a high school duel enrollment thing I did with Valdosta State and Valwood. It was ridiculously hard, but I'll be if I can say that I'm definitely WAYYY better at writing now than I was before I took her classes.",0,0,"Jan 29th, 2018"
100888,Donna Sewell,Valdosta State University,English department,5,3,ENGL2080,"I love Dr. Sewell. She is tough with grades, but it is not impossible to make an A in her class. Attendance is important & rewarded, but points are not deducted for missing class. The tests are fairly easy if you pay atttention & study your notes. She gives many opportunities to make up work if it is missed. I would definitely take her class again.",0,0,"Jan 4th, 2018"
100888,Donna Sewell,Valdosta State University,English department,5,4,ENGL1101,"Dr. Sewell is probably the best professor I have ever had. She is tough, there's no getting around that, but she genuinely cares about her students and their understanding of the material. She is more than willing to work with students outside of class.",1,0,"Nov 8th, 2017"
100888,Donna Sewell,Valdosta State University,English department,5,4,ENGL1101,"I actually took Sewell for both freshman English classes. She is a fantastic teacher, but there's much work in this class to be successful. Go to class, do ALL of the assignments (even small participation grades), and listen to her feedback, and you'll make an A or B. She is an amazing person and she really knows her stuff.",0,0,"Dec 14th, 2016"
100888,Donna Sewell,Valdosta State University,English department,5,4,ENGL1102,Dr. Sewell is an amazing professor. She is willing to meet with you as many times as you need so you can get a good grade in her class. She isn't the easiest professor but I learned more from her than I have in any other English class. Expect a lot of homework but the homework (if actually done) will help your final grade. All around a great class!,0,0,"Apr 25th, 2016"
100888,Donna Sewell,Valdosta State University,English department,4,5,ENG1101,"if you want an A DO NOT TAKE THIS CLASS. she's a good teacher and you learn a lot, but on most assignments the highest you can make is an 85. which she will tell you when going over the syllabus",0,0,"Mar 24th, 2016"
100888,Donna Sewell,Valdosta State University,English department,1,5,ENGL1101,"It's next to impossible to get an A in her class, and according to her it will become even harder in the future. You can't pass with a D, so you will eithor get a B/C or fail. She reminds me of Napolean. She bragged about no one making an A on the first essay and only 2 on the next. Determined to be the most intellegent in the room at all cost.",1,2,"Jun 5th, 2014"
100888,Donna Sewell,Valdosta State University,English department,4.5,4,ENGL1101,"Dr. Sewell is a great teacher. However, if you do not have a solid understanding of grammar you will struggle in her class. ALWAYS go to class, and take advantage of her out of class meeting times (very helpful). Also, do as many extra entries as you can because extra entries raise your grade. Dr. Sewell's class made me a more proficient writer.",2,0,"May 8th, 2014"
100888,Donna Sewell,Valdosta State University,English department,5,3,ENGL1101,"I loved Dr. Sewell. She gives a good bit of work, but as long as you do it all you will pass. Attendance is extremely mandatory. The essays are pretty hard and she will catch anything and everything you do wrong, but in the end it all really helps you out to become a better writer.",2,0,"Mar 3rd, 2013"
100888,Donna Sewell,Valdosta State University,English department,4.5,4,ENGL1101,She is a really tough grader on essays (the class average was usually a C/D on the four essays we did). Attendance is a NECESSITY... She is always willing to help though. I recommend meeting with her to proofread your essay every time and keep up with your journal. Overall she was an awesome professor.,2,0,"Jan 6th, 2012"
100888,Donna Sewell,Valdosta State University,English department,2,3,ENGL1102,"She is rigid, not in a way that is encouraging or inspiring. If you want a teacher that is objective and not influenced by those who simply agree with her, she's not for you. She has clear personal biases that get in the way of her teaching.",1,2,"Oct 18th, 2010"
100888,Donna Sewell,Valdosta State University,English department,4.5,3,ENGL1102,"Dr. Sewell has been my favorite professor at Valdosta State. Her lectures are very enjoyable. She makes you work for your grade, but she is ALWAYS willing to help and loves for people to do well! TAKE HER CLASS! you won't regret it.",1,0,"Apr 1st, 2010"
100888,Donna Sewell,Valdosta State University,English department,4.5,4,ENGL1102,"Dr. Sewell is awesome. Lots of writing in her class, had about 6 essays. The only grades are essays and journal. The journal is an easy A as long as you keep up with it. Overall I highly enjoyed her class.",0,0,"Mar 31st, 2010"
100888,Donna Sewell,Valdosta State University,English department,5,5,ENGL1101,"Great Professor! Always willing to do her part to make sure you understand the material. However if your looking for an easy ""A"" you may want to try another Professor, a lot of writing involved to get an A. Also attendance is required!",0,0,"Apr 27th, 2009"
100888,Donna Sewell,Valdosta State University,English department,5,4,ENGL1102,"She is laid back and respects her students. She hates when people are rude. If you need help with your writing, she will meet with you multiple times to work things out. She is down-to-earth and easy to get along with. Your essays will be much better after her class.",0,0,"Jan 15th, 2009"
100888,Donna Sewell,Valdosta State University,English department,4.5,4,ENGL2060,"good teacher, but hard",1,0,"Oct 16th, 2008"
100888,Donna Sewell,Valdosta State University,English department,5,5,ENG1101,"DR. Sewell is a fantastic teacher. She is very tough in essays format, but will help you out in any way that she can. She is vey good at what she does and just donw to earth. You would not have known thashe has her doctarate degree. Very humble and easy to talk to",0,0,"Aug 17th, 2008"
100888,Donna Sewell,Valdosta State University,English department,5,5,ENG1101,"DR. Sewell is a fantastic teacher. She is very tough in essays formay, but will help you out in any way that she can. She is vey good at what she does and just donw to earth. You would not have known thashe has her doctarate degree. Very humble and easy to talk to",0,0,"Aug 17th, 2008"
100888,Donna Sewell,Valdosta State University,English department,5,3,ENGL2000,"She does assign a lot of writing, but she is one of the best teachers I've had at Valdosta State. She really cares about what she teaches and is willing to work with you to make sure you know what is going on. Overall I really enjoyed this class. I was never bored. She doesn't require a textbook.",1,0,"May 24th, 2007"
100888,Donna Sewell,Valdosta State University,English department,5,4,ENGL2060,"She is tough, but willing to spend time improving your writing skills. The class was intriguing and well organized. I loved it (and her teaching)!",0,0,"Feb 5th, 2007"
100888,Donna Sewell,Valdosta State University,English department,4,2,ENGL3080,"She is a wonderful teacher; she is always willing to go the extra mile. If you are having trouble with your writing, just ask for her help, and she'll give it to you.",0,0,"Mar 21st, 2005"
100888,Donna Sewell,Valdosta State University,English department,1,5,ENG101,"If she does not like your writing stile you will not receive no higher than a ""C.""",0,0,"May 18th, 2004"
100888,Donna Sewell,Valdosta State University,English department,5,3,ENH,No Comments,0,0,"May 4th, 2004"
100888,Donna Sewell,Valdosta State University,English department,2,5,ENG101,No Comments,0,0,"Jul 21st, 2003"
100888,Donna Sewell,Valdosta State University,English department,5,1,PERS2540,Dr. Sewell's Myth of Southern Womanhood is an excellent PERS class.We only read 2 books and watch 3 movies in he whole class during the semester. She grades fair.Our big project is 40 percent of our grade and it is so easy.The final is a breeze.She's good,0,0,"Mar 20th, 2003"
100888,Donna Sewell,Valdosta State University,English department,5,4,ENGL1101,"For an ENGL1101 class, Dr. Sewell seems hard, but I kept all of her handouts and they have been very helpful! You will appreciate her much more later! If she teaches any of my other courses, I will take them from now on. You have to turn in essay rough drafts and final copies as well as do grammar and punctuation quizzes.",0,0,"Oct 13th, 2022"
100888,Donna Sewell,Valdosta State University,English department,5,4,ENGL2080,"This teacher is amazing! You will struggle if you miss class because she makes you turn in a notebook every week with notes and assignments you do during the week. She is very understanding and you can tell how passionate she is and how she wants you to succeed. Amazing professor, I wish i could take her again!",0,0,"Apr 27th, 2022"
