Name,Title,Description
Accounting (ACCT),ACCT 2099.  Accounting Principles for Entrepreneurs.  3 Hours.,An introduction to financial and managerial accounting and federal taxation to develop potential entrepreneurs’ financial literacy. Non-majors only; may not be taken for credit by business majors.
Accounting (ACCT),ACCT 2101.  Principles of Accounting I.  3 Hours.,An introduction to financial accounting that emphasizes accounting’s role in business and society. The course develops an understanding of the financial statements of economic entities.
Accounting (ACCT),ACCT 2102.  Principles of Accounting II.  3 Hours.,Prerequisite: ACCT 2101 with a grade of “C” or better. An introduction to managerial accounting. Emphasis is placed on understanding internal accounting documents and analyzing these documents to render logical and economically feasible decisions.
Accounting (ACCT),ACCT 2999.  Accounting Career Development.  0 Hours.,"Graded ""Satisfactory"" or ""Unsatisfactory"".  Required of Junior or Senior accounting majors.  Completion credit for required attendance at an approved accounting career event."
Accounting (ACCT),ACCT 3000.  Data Analytics in Accounting.  3 Hours.,"Prerequisite:  ACCT 2101.  The study of data analytics and its applications in accounting contexts, with an emphasis on data preparation, modeling, analysis and interpretation, and visualization."
Accounting (ACCT),ACCT 3100.  Introduction to Fraud Examination.  3 Hours.,"Prerequisite:  ACCT 2101 with a grade of ""C"" or better.  An introduction to the prevention, investigation, and detection of fraud.  Topics covered include, but are not limited to, types of fraud, asset misappropriations, financial statement misstatements, consumer fraud, fraud against organizations, and internal controls.  Students identify fraud prevention, detection, and investigation techniques."
Accounting (ACCT),ACCT 3201.  Intermediate Accounting I.  3 Hours.,"Prerequisite: ACCT 2101 with a grade of “C” or better. An examination of the conceptual tools used for financial reporting. This course examines the operation of the accounting information system, research techniques, and the application of time value of money concepts in financial reporting."
Accounting (ACCT),ACCT 3202.  Intermediate Accounting II.  3 Hours.,"Prerequisite:  ACCT 3201 with a grade of ""C"" or better.  An examination of the financial reporting issues surrounding the revenue and expense recognition, current assets, long-lived assets, and stockholders' equity."
Accounting (ACCT),ACCT 3250.  Forensic Accounting.  3 Hours.,"Prerequisite: ACCT 3100. Introduction, examination, and practical applications of forensic techniques in accounting. Topics include fraud detection, business valuations, income and asset valuations in divorce proceedings, expert witness rules (post Daubert), cross examination, rules of evidence and procedure."
Accounting (ACCT),ACCT 3400.  Cost Accounting.  3 Hours.,"Prerequisite:  ACCT 2102 with a grade of ""C"" or better.  An introduction to unit cost determination, budgeting for planning and control purposes, variance analysis, forecasting, cost allocations, transfer pricing and application of cost techniques to management decision-making."
Accounting (ACCT),ACCT 3700.  Internal Auditing.  3 Hours.,"Prerequisite: ACCT 2102 with a grade of “C” or better. Introduction to the theory and practice of internal auditing, an independent appraisal activity within firms. Topics covered include internal auditing standards, ethics, internal controls, risk assessment, evidence, documentation (including use of computer-assisted auditing techniques), and reporting practices."
Accounting (ACCT),ACCT 4410.  Accounting Information Systems.  3 Hours.,"Prerequisites:  ACCT 3201, ACCT 3400, and BUSA 2201.  A grade of ""C"" or better must be earned in all prerequisite classes. An introduction to both manual and computerized accounting information systems, concentrating on business transaction cycles, the documentation of the processes involved in these, and related risks and controls."
Accounting (ACCT),ACCT 4500.  Individual Income Tax.  3 Hours.,"Prerequisite: ACCT 2101 with a grade of ""C"" or better.  Co-requisite: ACCT 3201. An introduction to federal taxation.  This course focuses on the federal income, tax, including the elements of gross income, exclusions, deductions, and credits.  Students will complete comprehensive tax returns."
Accounting (ACCT),ACCT 4800.  Auditing.  3 Hours.,"Prerequisite:  ACCT 3202 with a grade of ""C"" or better; pre- or corequisite:  ACCT 4410.  An introduction to the concepts and techniques used by the independent accountant in the audit of financial statements."
Accounting (ACCT),ACCT 4980.  Accounting Internship.  3 Hours.,"Prerequisite:  Faculty approval.  Graded ""Satisfactory"" or ""Unsatisfactory"".  The application of academic accounting skills in an employment situation.  A written reflection and an employer evaluation is required.  May be taken more than once with Department Head approval."
Accounting (ACCT),ACCT 4990.  Directed Study in Accounting.  3 Hours.,Prerequisite: Faculty approval. A special project undertaken by the student. The project is guided by a faculty member and culminates in a research report.
Adult and Career Education (ACED),ACED 1100.  Introduction to Business.  3 Hours.,"An overview of business principles and practices.  Emphasis on developing an awareness of banking, marketing, finance, insurance, and organizational design.  Will include ethical and human relations issues.  Open to all majors."
Adult and Career Education (ACED),ACED 2000.  Beginning Keyboarding.  3 Hours.,"Development of basic touch keyboarding skills. This course provides an introduction to formatting letters, research papers, and miscellaneous documents. Emphasis is placed on developing straight-copy speed and accuracy. Exemption test available."
Adult and Career Education (ACED),ACED 2050.  Communications for the Workplace.  3 Hours.,"Prerequisite: ENGL 1102. Principles of effective oral and written communications. A thorough review of grammar, sentence and paragraph construction, punctuation, and writing techniques. Emphasis on the job-getting process."
Adult and Career Education (ACED),ACED 2300.  Intermediate Keyboarding.  3 Hours.,"Prerequisite: Grade of “C” or better in ACED 2000 or exemption. Continued emphasis on speed and accuracy building. Detailed coverage of business letters, memos, multiple-page reports, and miscellaneous documents. Exemption test available."
Adult and Career Education (ACED),ACED 2400.  Computer Technology for the Workplace.  3 Hours.,"Computer applications for development of analytical and problem-solving workplace skills. Topics include word processing, databases, spreadsheets, communications, and presentations, hardware, networks, and social and ethical concepts. Exemption test available."
